game_id,platform_id,sales_units_in_millions
2354,PS4,0.35
965,PS4,0.01
965,PC,0.01
28007,3DS,0.93
14081,PS4,0.08
14081,PC,0.03
882,PS4,0.01
882,PSV,0.05
1045,PS4,0.14
1045,X360,0.09
1045,XOne,0.1
1045,WiiU,0.18
1045,PS3,0.11
2310,WiiU,0.03
2310,PS4,0.05
2310,XOne,0.02
209,PS4,0.02
2284,XOne,0.03
2284,PC,0.01
2284,PS4,0.06
2288,3DS,0.08
2288,PSV,0.06
2229,PS4,0.01
2229,XOne,0.02
2222,PS4,0.08
2222,PC,0.03
2222,XOne,0.06
2104,PS2,0.63
2093,PS4,1.7
486,PS4,0.23
486,PS3,0.12
27964,3DS,0.05
1447,XOne,0.17
1447,PC,0.03
1447,PS4,0.38
1816,PS4,0.15
1454,XOne,1.23
1454,X360,0.17
1454,PS4,1.75
1454,PS3,0.12
9802,PC,0.01
43432,PC,0.32
1343,XOne,0.04
1343,PS4,0.05
7039,XOne,0.15
1347,PS3,0.13
1347,X360,0.04
1347,PC,0.02
1347,XOne,0.05
1347,PS4,0.45
49,PS4,0.37
49,PS3,0.11
15825,PC,0.02
1303,PS3,0.13
1303,X360,0.12
1303,PS4,1.88
1303,PC,0.01
1303,XOne,1.02
1249,PS4,7.59
1249,PS3,0.73
1249,PC,0.12
1249,X360,0.38
1249,XOne,2.65
881,XOne,1.08
27832,3DS,0.01
1169,XOne,0.62
1169,PS4,1.81
1169,PC,0.19
375,XOne,0.01
375,PC,0.01
375,PS4,0.05
28015,WiiU,0.42
1159,PS4,0.39
1142,PS4,0.25
1125,PS4,0.6
1125,PS3,0.14
1125,XOne,0.26
1125,X360,0.11
1105,PS4,0.03
1105,XOne,0.03
1099,PS4,0.3
8278,XOne,1.35
1067,PS4,0.02
1019,PS4,0.15
1009,PS4,0.26
1009,XOne,0.11
998,XOne,2.25
998,PC,0.38
998,PS4,4.08
943,PC,0.65
943,PS4,0.41
943,XOne,0.12
956,X360,0.04
956,XOne,0.04
956,PS4,0.03
956,WiiU,0.09
956,PS3,0.05
956,Wii,0.18
15686,PC,0.04
303,PS4,0.04
303,PSV,0.02
923,PC,0.08
923,PS4,0.75
923,XOne,0.57
912,PS4,0.01
10502,PC,0.09
887,XOne,2.42
887,PC,0.14
887,PS4,4.46
10383,PC,0.04
875,PS4,0.07
880,PS4,0.12
864,XOne,0.22
864,PS4,0.64
864,PC,0.12
9539,PC,0.02
572,PS4,0.1
10061,XOne,0.36
10061,PS4,1.13
729,Wii,0.75
